phrase,quote,reason
gift so since,this was a gift so since ,technical_term
step up from,it is a step up from ,not_role_like
nice upgrade from,it is a nice upgrade from ,technical_term
utter disappointment due,turned into an utter disappointment due ,not_role_like
great speaker,it is a great speaker!,technical_term
essential,has become an essential tool especially ,not_role_like
perfect speaker for,it is the perfect speaker for ,technical_term
speaker and how,it is a speaker and how ,technical_term
super good deal,this is a super good deal ,technical_term
second echo dot,this is my second echo dot ,tautology
bundled deal including,this was a bundled deal including ,technical_term
necessity,this is a necessity in the ,not_role_like
basic echo,this is a basic echo ,tautology
perfect supplement,it is a perfect supplement to ,non_role_pattern
great device,this is a great device.,technical_term
best the echo,this is the best the echo ,tautology
waste,it was a waste of money ,abstract_non_role
must and,this is a must and ,not_role_like
thing we never,echo dot is the thing we never ,non_role_pattern
step above the,this is a step above the ,not_role_like
great addition,it is a great addition to ,technical_term
cool little device,it is a cool little device.,technical_term
first experience with,echo dot was my first experience with ,not_role_like
great value,this is a great value ,not_role_like
second echo dot,this is my second echo dot.,tautology
great product and,echo dot is a great product and ,technical_term
great gift,echo dot was a great gift.,technical_term
really great gift,echo dot was a really great gift ,technical_term
little bit bigger,it is a little bit bigger ,non_role_pattern
senior citizen and,alexa is a senior citizen and ,not_role_like
great improvement over,echo dot is a great improvement over ,technical_term
great small smart,echo dot is a great small smart ,not_role_like
best echo dot,this is the best echo dot ,tautology
first echo dot,this is my first echo dot ,tautology
perfect replacement for,it was a perfect replacement for ,technical_term
bit louder but,it was a bit louder but ,non_role_pattern
third echo,this is my third echo ,tautology
huge improvement over,this is a huge improvement over ,technical_term
second echo dot,this is my second echo dot,tautology
best solution,this is the best solution ,not_role_like
christmas present for,this was a christmas present for ,technical_term
hassle,it was a hassle to set ,not_role_like
very cool thing,echo dot is a very cool thing ,not_role_like
best echo dot,this is the best echo dot ,tautology
only thing about,it is the only thing about ,not_role_like
good value,echo dot is a good value.,not_role_like
welcome addition,alexa is a welcome addition to ,technical_term
second echo dot,this is my second echo dot.,tautology
functional part, become a functional part of ,not_role_like
first,this is my first ,ordinal_number
fault for not,it is my fault for not ,not_role_like
awesome deal,it is an awesome deal.,technical_term
girlfriends name,alexa is my girlfriends name.,not_role_like
dot,it was the dot.,tautology
great product,this is a great product.,technical_term
good,this is a good ,standalone_adjective
tad bit hefty,it is a tad bit hefty ,not_role_like
upgrade,it is an upgrade in network ,technical_term
great item,it is a great item to ,not_role_like
second echo dot,this is my second echo dot.,tautology
an amazing product,echo dot is an an amazing product ,technical_term
best one yet,it is the best one yet!,not_role_like
best accessory for,this is the best accessory for ,technical_term
best at understanding,alexa is the best at understanding ,not_role_like
light eater,it is a light eater.,abstract_non_role
best clock we,it is the best clock we ,technical_term
gateway,has become a gateway to buying ,not_role_like
second echo dot,this is my second echo dot.,tautology
perfect companion for,echo dot is the perfect companion for ,incomplete_phrase_for
excellent way,this is an excellent way to ,not_role_like
great product,this is a great product.,technical_term
second echo dot,this is my second echo dot ,tautology
great,it is a great ,standalone_adjective
gift and,this was a gift and ,technical_term
problem that has,this is a problem that has ,not_role_like
best home automation,echo dot is the best home automation ,not_role_like
must have,this is a must have!,not_role_like
second echo dot,this is my second echo dot.,tautology
good product if,it is a good product if ,technical_term
suprised finding in,this was a suprised finding in ,not_role_like
right one for,echo dot is the right one for ,incomplete_phrase_for
great edition,it is a great edition to ,not_role_like
second echo dot,this is the second echo dot ,tautology
first,this is my first ,ordinal_number
breeze,it was a breeze.,not_role_like
better choice,this is the better choice.,technical_term
great desktop,it is a great desktop ,not_role_like
gift and i,echo dot was a gift and i ,technical_term
bit,that was a bit ,abstract_non_role
least,that is the least of my ,not_role_like
wonderful solution,this is a wonderful solution.,not_role_like
attractive and stylish,this is an attractive and stylish ,not_role_like
child version not,it is a child version not ,technical_term
retarded cousin,echo dot is the retarded cousin.,not_role_like
terrific product,echo dot is a terrific product.,technical_term
must have if,this is a must have if ,not_role_like
mistake buying this,it was a mistake buying this.,not_role_like
fourth third echo,this is my fourth third echo ,tautology
second dot,this is my second dot.,tautology
only way it,that is the only way it ,not_role_like
improvement,it is an improvement of the ,technical_term
excellent mount for,this is an excellent mount for ,incomplete_phrase_for
dot but instead,it was the dot but instead ,tautology
product for you,this is a product for you.,technical_term
issue specific,this is an issue specific to ,not_role_like
great product for,echo dot is a great product for ,technical_term
good,echo dot is a good ,standalone_adjective
second echo,this was my second echo ,tautology
third echo dot,this is our third echo dot.,tautology
brilliant piece,echo dot is a brilliant piece of ,not_role_like
new go-to gift,it is my new go-to gift.,technical_term
pretty darn good,it is a pretty darn good ,not_role_like
blast,alexa is a blast to talk ,not_role_like
great secondary device,echo dot is a great secondary device ,technical_term
perfect addition for,it was a perfect addition for ,technical_term
better,this is the better.,abstract_non_role
only echo dot,this is the only echo dot ,tautology
third one,this is my third one.,not_role_like
waste,it is a waste of money.,abstract_non_role
everything,alexa is my everything ,not_role_like
future sexual participante, become a future sexual participante ,not_role_like
pretty sweet deal,that was a pretty sweet deal ,technical_term
old model now,it is the old model now.,technical_term
best small smart,this is the best small smart ,not_role_like
perfect size,echo dot was the perfect size.,not_role_like
winner,it is a winner!,technical_term
second echo dot,this is my second echo dot ,tautology
nice accessory at,it is a nice accessory at ,technical_term
much less compelling,this is a much less compelling ,not_role_like
pain though,alexa is a pain though.,not_role_like
first time with,this is my first time with ,not_role_like
winner,this is a winner,technical_term
step back,this is a step back.,not_role_like
most frustrating thing,this is the most frustrating thing ,literal_function
second echo dot,this is my second echo dot.,tautology
lot shorter and,echo dot is a lot shorter and ,not_role_like
awesome gift,echo dot is an awesome gift.,technical_term
nice and soft,it is a nice and soft ,not_role_like
really amazing addon,this is a really amazing addon ,not_role_like
good product and,this is a good product and ,technical_term
little difficult,it was a little difficult to ,not_role_like
perfect match for,echo dot was the perfect match for ,technical_term
whole different game,alexa is a whole different game ,not_role_like
really good deal,this is a really good deal ,technical_term
must,echo dot is a must.,abstract_non_role
nice upgrade over,it was a nice upgrade over ,technical_term
voice recognition,it seems the voice recognition ,product_description
bomb,echo dot is the bomb!,not_role_like
great price,it was a great price!,not_role_like
good quality product,it is a good quality product.,technical_term
same deal,this is the same deal.,technical_term
better handler,alexa is a better handler.,product_description
perfect place,echo dot was the perfect place to ,not_role_like
great purchase -,echo dot was a great purchase - ,technical_term
amazing idea and,echo dot is an amazing idea and ,not_role_like
solid metal bracket,this is a solid metal bracket ,not_role_like
well made product,this is a well made product ,technical_term
second unit and,this is my second unit and ,not_role_like
third,this is our third ,ordinal_number
steal,it was a steal.,not_role_like
first echo product,echo dot was the first echo product ,tautology
favorite as a,that was a favorite as a ,not_role_like
great upgrade from,this is a great upgrade from ,technical_term
second person around,like having a second person around.,not_role_like
fine stereo system,like having a fine stereo system ,not_role_like
third one,this is my third one.,not_role_like
bit difficult,it was a bit difficult to ,not_role_like
lot,echo dot is a lot of fun ,abstract_non_role
nice feature,echo dot is a nice feature to ,not_role_like
birthday gift for,it was a birthday gift for ,technical_term
fun and useful,echo dot is a fun and useful ,not_role_like
second echo dot,this is my second echo dot ,tautology
very first experience,this is my very first experience ,not_role_like
waste,it is a waste of ,abstract_non_role
household name around,alexa is a household name around ,not_role_like
very convenient way,it is a very convenient way ,not_role_like
little things that,it is the little things that ,not_role_like
little brighter or,it was a little brighter or ,non_role_pattern
great addition,echo dot is a great addition to ,technical_term
perfect solution,echo dot was the perfect solution.,not_role_like
perfect holder for,it is the perfect holder for ,non_role_pattern
artificial intelligence person,like having a artificial intelligence person in the ,abstract_non_role
artificial intelligence person,it's like having a artificial intelligence person in the ,abstract_non_role
only music system,echo dot is the only music system ,not_role_like
tradeoff,this is a tradeoff to voice ,not_role_like
second echo dot,this is the second echo dot ,tautology
little confusing,it was a little confusing to ,not_role_like
notification that i,it was a notification that i ,not_role_like
wifi connection not,it was the wifi connection not ,not_role_like
great addition,this is a great addition to ,technical_term
much more proficient,have become a much more proficient ,non_role_pattern
wonderful accessory,this is a wonderful accessory to ,technical_term
bit heavy and,echo dot is a bit heavy and ,not_role_like
super bonus,it is a super bonus.,not_role_like
amazing system,this is an amazing system.,not_role_like
very good product,this is a very good product ,technical_term
special that included,it was a special that included ,not_role_like
hoax but they,it was a hoax but they ,not_role_like
great little unit,echo dot is a great little unit.,not_role_like
gift for my,it was a gift for my ,technical_term
definite sound improvement,it is a definite sound improvement ,technical_term
hifi stereo,like having a hifi stereo ,not_role_like
exceptional,this is an exceptional ,not_role_like
christmas gift for,it was a christmas gift for ,technical_term
huge negative point,this is a huge negative point ,not_role_like
gift from our,echo dot was a gift from our ,technical_term
little bit louder,it was a little bit louder ,non_role_pattern
big plus for,that is a big plus for ,incomplete_phrase_for
case,this is the case.,not_role_like
commodity i was,this was a commodity i was ,not_role_like
great little addition,echo dot is a great little addition ,technical_term
fourth alexa device,this is the fourth alexa device ,tautology
very first smart,this is my very first smart ,not_role_like
good purchase and,it was a good purchase and ,technical_term
product,this is the product to have!,technical_term
best amazon purchse,echo dot is my best amazon purchse ,tautology
way it looks,echo dot is the way it looks ,not_role_like
nice,it is a nice to see ,standalone_adjective
nice feature and,echo dot is a nice feature and ,not_role_like
great choice,it was a great choice.,technical_term
great replacement for,it is a great replacement for ,technical_term
minor issue and,this is a minor issue and ,not_role_like
gift,it was a gift to myself.,technical_term
second one i,this is the second one i ,not_role_like
try at alexa,this was my try at alexa.,tautology
addition,this was an addition to our ,technical_term
breeze,it was a breeze.,not_role_like
fantastic addition,echo dot is a fantastic addition to ,technical_term
drawback is that,that is a drawback is that ,not_role_like
fire tv stick,like having a fire tv stick ,not_role_like
great little device,this is a great little device.,technical_term
great addition,echo dot is a great addition to ,technical_term
latest generation,"echo dot, the latest generation,",technical_term
fun,echo dot is a fun toy for ,not_role_like
great way,echo dot is a great way to ,not_role_like
easiest thing,it was the easiest thing to ,not_role_like
fault that i,it is my fault that i ,not_role_like
only one that,alexa is the only one that ,not_role_like
third one,this is our third one.,not_role_like
easiest echo i,this was the easiest echo i ,tautology
ridiculous policy,this is a ridiculous policy.,not_role_like
second device and,this is my second device and ,technical_term
great gift for,echo dot is a great gift for ,technical_term
case,this is a case.,not_role_like
amazon echo dot,this was an amazon echo dot ,tautology
sturdy product,it seems like a sturdy product.,technical_term
little confusing but,that was a little confusing but ,not_role_like
inexpensive way,echo dot is an inexpensive way to ,not_role_like
minor issue that,this is a minor issue that ,not_role_like
bug that amazon,it is a bug that amazon ,tautology
first purchase in,it is our first purchase in ,technical_term
gift and once,this was a gift and once ,technical_term
perfect,that is a perfect!,standalone_adjective
complete prude,alexa is a complete prude!,not_role_like
great device unless,echo dot is a great device unless ,technical_term
device using alexa,like having a device using alexa ,tautology
great replacement for,this is a great replacement for ,technical_term
most attractive echo,this is a most attractive echo ,tautology
echo dot in,like having my echo dot in ,tautology
fifth one sent,this is my fifth one sent ,non_role_pattern
great,it is a great ,standalone_adjective
second echo dot,this is my second echo dot.,tautology
nice thing,echo dot is a nice thing to ,not_role_like
little hard,it was a little hard to ,not_role_like
nice,alexa is a nice tool for ,standalone_adjective
problem and released,this was a problem and released ,not_role_like
third echo dot,this is my third echo dot.,tautology
gift and we,echo dot was a gift and we ,technical_term
lot,it is a lot of fun,abstract_non_role
christmas gift and,this was a christmas gift and ,technical_term
best so far,echo dot is the best so far.,not_role_like
excellent device,this is an excellent device to ,technical_term
excellent,it is an excellent ,standalone_adjective
nice option for,this is a nice option for ,technical_term
second echo dot,this is the second echo dot ,tautology
sound quality has,echo dot is the sound quality has ,not_role_like
lot,echo dot is a lot of fun.,abstract_non_role
nice gift for,this is a nice gift for ,technical_term
affordable sound improvement,it is an affordable sound improvement ,technical_term
awesome product which,this is an awesome product which ,technical_term
amazing improvement,this was an amazing improvement.,technical_term
little smaller than,it is a little smaller than ,not_role_like
smartest,alexa is the smartest of all ,not_role_like
bff,alexa is my bff in my ,not_role_like
easy plug and,it is an easy plug and ,not_role_like
first echo and,this is my first echo and ,tautology
best investment,echo dot is the best investment ,product_description
smallest amazon smart,echo dot is the smallest amazon smart ,tautology
great help,echo dot is a great help to ,not_role_like
great assistant for,echo dot is really a great assistant for ,incomplete_phrase_for
enjoyable entertainment resource,echo dot is an enjoyable entertainment resource ,not_role_like
thumbnail,it is a thumbnail ,not_role_like
upgrade over the,this is an upgrade over the ,technical_term
pain,it is a pain ,not_role_like
great choice,it was a great choice.,technical_term
wonderful device,this is a wonderful device.,technical_term
nice tech,echo dot is a nice tech toy!,not_role_like
gift,it was a gift.,technical_term
fun and convenient,echo dot is a fun and convenient ,non_role_pattern
option,that was an option.,technical_term
go,echo dot is my go to music ,abstract_non_role
great,it is a great ,standalone_adjective
glorified bluetooth speaker,it is basically a glorified bluetooth speaker ,technical_term
first echo dot,this was our first echo dot.,tautology
must have for,this is a must have for ,incomplete_phrase_for
first review,this is the first review ,not_role_like
best,echo dot is the best.,standalone_adjective
excellent product i,this is an excellent product i ,technical_term
understanding that we,it is my understanding that we ,not_role_like
little smaller that,it was a little smaller that ,not_role_like
second echo dot,this is my second echo dot.,tautology
best way,this is the best way to ,not_role_like
second echo dot,this is my second echo dot.,tautology
house warming gift,it was a house warming gift.,technical_term
little big for,it is a little big for ,incomplete_phrase_for
part,has become a part of my ,not_role_like
fun little,echo dot is a fun little toy.,not_role_like
very cool product,this is a very cool product ,technical_term
helping hand,like having a helping hand when ,not_role_like
helping hand,it's like having a helping hand when ,not_role_like
little quiet so,it was a little quiet so ,not_role_like
must have for,this is a must have for ,incomplete_phrase_for
echo,"echo dot, an echo,",tautology
first amazon dot,this is my first amazon dot ,tautology
best device,this is the best device ,technical_term
nice smart gadget,echo dot  is a nice smart gadget ,technical_term
powerhouse for such,echo dot  is a powerhouse for such ,not_role_like
widely broadcast complaint,this is a widely broadcast complaint ,literal_function
speaker or firmware,this is a speaker or firmware ,technical_term
second ggmm product,this is my second ggmm product.,technical_term
gift so we,it was a gift so we ,technical_term
easy fix for,it was an easy fix for ,incomplete_phrase_for
must buy,this is a must buy to ,technical_term
known problem and,this is a known problem and ,not_role_like
delight,it is a delight to listen ,not_role_like
prime day purchase,this was a prime day purchase ,technical_term
second purchase,this is my second purchase.,technical_term
second echo,this is my second echo ,tautology
second echo dot,this is my second echo dot.,tautology
downfall,that is a downfall!,not_role_like
echo dot but,like having an echo dot but ,tautology
fun thing,echo dot is a fun thing to ,not_role_like
matter,this is a matter of ergonomics ,abstract_non_role
excellent value at,this is an excellent value at ,literal_function
christmas gift from,this was a christmas gift from ,technical_term
selling machine,it is a selling machine.,technical_term
must have i,it is a must have i ,not_role_like
second one,this is my second one.,not_role_like
router even though,it was my router even though ,not_role_like
best product ever,it is the best product ever ,technical_term
bomb,alexa is the bomb!,not_role_like
best present,it was the best present.,technical_term
great,echo dot is a great ,standalone_adjective
super deal through,it was a super deal through ,technical_term
gift at christmas,it was a gift at christmas ,technical_term
nice unit that,this is a nice unit that ,not_role_like
nice little speaker,this is a nice little speaker ,technical_term
gift,this was a gift to me ,technical_term
lot better than,echo dot is a lot better than ,non_role_pattern
big gap in,this is a big gap in ,not_role_like
downgrade,echo dot is a downgrade in almost ,technical_term
great product,alexa is a great product.,technical_term
best gift ever,it is the best gift ever,technical_term
great,this is a great ,standalone_adjective
great device,echo dot is a great device to ,technical_term
great addition,it was a great addition to ,technical_term
second person in,like having a second person in ,not_role_like
second person in,its like having a second person in ,not_role_like
very positive customer,this was a very positive customer ,non_role_pattern
third set,this is my third set of ,not_role_like
splurge for me,this was a splurge for me.,not_role_like
excellent product,echo dot is an excellent product to ,technical_term
great item but,echo dot is a great item but ,not_role_like
good option for,this is a good option for ,technical_term
great addition,echo dot is a great addition.,technical_term
second echo dot,this is my second echo dot.,tautology
awesome technology and,echo dot is an awesome technology and ,not_role_like
best way,this is the best way to ,not_role_like
amazing little gizmo,echo dot is an amazing little gizmo.,not_role_like
steal for the,echo dot is a steal for the ,not_role_like
great addition,echo dot is a great addition to ,technical_term
affordable way,echo dot is an affordable way to ,not_role_like
gift from my,it was a gift from my ,technical_term
game changer for,echo dot is a game changer for ,incomplete_phrase_for
gift,it was a gift.,technical_term
pretty good reason,that seems like a pretty good reason ,not_role_like
great product,it was a great product.,technical_term
second echo dot,this is the second echo dot ,tautology
best thing i,it is the best thing i ,not_role_like
fun,echo dot is a fun toy.,not_role_like
great gift,this was a great gift!,technical_term
great buy,this is a great buy!,technical_term
excellent product,echo dot is an excellent product.,technical_term
waste,it was a waste of money.,abstract_non_role
best,echo dot is the best ,standalone_adjective
little pricey for,it was a little pricey for ,incomplete_phrase_for
new bestfriend,alexa is my new bestfriend ,not_role_like
very first alexa,this is my very first alexa ,tautology
great device and,it is a great device and ,technical_term
really big upgrade,it is a really big upgrade ,technical_term
wonderful piece,echo dot is a wonderful piece of ,not_role_like
third one,this is the third one ,not_role_like
minus is,that is a minus is when ,not_role_like
great universal remote,echo dot is a great universal remote ,product_description
lot,echo dot is a lot of fun ,abstract_non_role
weird dream so,it was a weird dream so ,not_role_like
glorious fuckin dream,it was a glorious fuckin dream ,not_role_like
game grumps darude,it was the game grumps darude ,not_role_like
small amount,it was a small amount of ,not_role_like
smart speaker,it feels like a smart speaker offers ,technical_term
sort,this was a sort of prank ,not_role_like
weird incident,it was a weird incident.,non_role_pattern
microphone,it was a microphone.,not_role_like
key function for,this is a key function for ,incomplete_phrase_for
response i got,this is the response i got ,not_role_like
common occurrence for,this is a common occurrence for ,incomplete_phrase_for
first time,this is the first time ,not_role_like
first time,this is the first time ,not_role_like
space,this is the space ,not_role_like
cause,that is the cause of the ,not_role_like
same as,alexa  is the same as ,not_role_like
question is,"that, my question is,",not_role_like
old hard plastic,this is the old hard plastic ,not_role_like
message i get,this is the message i get ,not_role_like
limited edition jack,this is the limited edition jack ,not_role_like
big miss for,this is a big miss for ,technical_term
only reason i,that was the only reason i ,not_role_like
snitch and very,alexa is a snitch and very ,not_role_like
great video,this is a great video!,not_role_like
speaker, become a speaker,technical_term
app lol,alexa is an app lol,not_role_like
valuable behavioral,it is a valuable behavioral tool ,not_role_like
useful feature in,this was a useful feature in ,not_role_like
